pierre@blut:~/depots/sniper$ opam list
# Packages matching: installed
# Name                  # Installed    # Synopsis
base-bigarray           base
base-threads            base
base-unix               base
cairo2                  0.6.2          Binding to Cairo, a 2D Vector Graphics Li
camlp5                  7.14           Preprocessor-pretty-printer of OCaml
conf-adwaita-icon-theme 2              Virtual package relying on adwaita-icon-t
conf-cairo              1              Virtual package relying on a Cairo system
conf-findutils          1              Virtual package relying on findutils
conf-gmp                4              Virtual package relying on a GMP lib syst
conf-gtk3               18             Virtual package relying on GTK+ 3
conf-gtksourceview3     0+2            Virtual package relying on a GtkSourceVie
conf-perl               2              Virtual package relying on perl
conf-pkg-config         2              Check if pkg-config is installed and crea
coq                     8.13.2         Formal proof management system
coq-elpi                1.11.1         Elpi extension language for Coq
coq-equations           1.2.4+8.13     A function definition package for Coq
coq-metacoq-pcuic       1.0~beta2+8.13 A type system equivalent to Coq's and its
coq-metacoq-template    1.0~beta2+8.13 A quoting and unquoting library for Coq i
coq-smtcoq              dev+8.13       pinned to version dev+8.13 at git+file://
coq-trakt               dev            pinned to version dev at git+https://gith
coqide                  8.13.2         IDE of the Coq formal proof management sy
cppo                    1.6.8          Code preprocessor like cpp for OCaml
csexp                   1.5.1          Parsing and printing of S-expressions in 
dune                    3.0.3          Fast, portable, and opinionated build sys
dune-configurator       3.0.3          Helper library for gathering system confi
elpi                    1.13.8         ELPI - Embeddable λProlog Interpreter
lablgtk3                3.1.2          OCaml interface to GTK+3
lablgtk3-sourceview3    3.1.2          OCaml interface to GTK+ gtksourceview lib
menhir                  20190626       An LR(1) parser generator
num                     1.4            The legacy Num library for arbitrary-prec
ocaml                   4.12.0         The OCaml compiler (virtual package)
ocaml-base-compiler     4.12.0         Official release 4.12.0
ocaml-compiler-libs     v0.12.4        OCaml compiler libraries repackaged
ocaml-config            2              OCaml Switch Configuration
ocaml-options-vanilla   1              Ensure that OCaml is compiled with no spe
ocamlbuild              0.14.1         OCamlbuild is a build system with builtin
ocamlfind               1.9.3          A library manager for OCaml
ppx_derivers            1.2.1          Shared [@@deriving] plugin registry
ppx_deriving            5.2.1          Type-driven code generation for OCaml
ppxlib                  0.26.0         Standard library for ppx rewriters
re                      1.10.3         RE is a regular expression library for OC
result                  1.5            Compatibility Result module
seq                     base           Compatibility package for OCaml's standar
sexplib0                v0.15.0        Library containing the definition of S-ex
stdlib-shims            0.3.0          Backport some of the new stdlib features 
zarith                  1.12           Implements arithmetic and logical operati
